	Kingdom	Phylum	Class	Order	Family	Genus
sq5093	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
sq5094	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4_uc
sq5095	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ia
sq5096	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
sq5097	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_13	Subgroup_13_uc	Subgroup_13_uc
sq5098	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia_uc	Cyanobacteriia_uc	Cyanobacteriia_uc
sq5099	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonadaceae_uc
sq5100	Bacteria	Margulisbacteria	Margulisbacteria_uc	Margulisbacteria_uc	Margulisbacteria_uc	Margulisbacteria_uc
sq5101	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales_uc	Oligoflexales_uc
sq5102	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_uc	Gammaproteobacteria_uc	Gammaproteobacteria_uc
sq5103	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
sq5104	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Planctomycetales_uc	Planctomycetales_uc
sq5105	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	OM182_clade_uc	OM182_clade_uc
sq5106	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
sq5107	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_uc	Alphaproteobacteria_uc	Alphaproteobacteria_uc
sq5108	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
sq5109	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriales_uc	Sphingobacteriales_uc
sq5110	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128
sq5111	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_uc
sq5112	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5113	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_II	SAR11_Clade_II_uc
sq5114	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
sq5115	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5116	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_uc	Gammaproteobacteria_uc	Gammaproteobacteria_uc
sq5117	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5118	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sedimentitalea
sq5119	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04_marine_group
sq5120	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_clade_uc	SAR11_clade_uc
sq5121	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
sq5122	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5123	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5124	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq5126	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_II	SAR11_Clade_II_uc
