1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip	95_clip	96_clip
sq13	0	21	0	8	1601	48	194	1	2	3	1503	148	809	133	542	274	16	0	83	3747	0	2	1337	1	2	18	0	352	722	3742	5718	10180	6336	692	1443	692	0	1	1	2	0	1	0	114	1	16	1738	89	1226	1742	983	248	10	4	712	11	907	2123	3468	2164	3334	989	67	68	17	37	330	396	135	6	0	140	2	0	55	1	1	120	470	1	4490	6403	2187	6985	2929	5824	591	41	0	40	1	0	1	2	1	1
sq14	344	472	86	259	1058	240	303	111	1333	59	326	263	593	143	530	399	8263	299	2711	38	138	112	387	29	26	161	106	18	228	763	32	1785	3009	1092	602	9	71	61	300	2731	617	454	135	1310	400	471	141	464	2321	2985	1006	154	936	635	1301	223	1276	1843	1054	1007	112	9	116	2516	827	203	263	11211	2312	653	134	638	15	954	309	772	1259	69	1099	284	189	136	220	40	405	2121	246	102	422	91	118	423	8383	899	1315	1183
sq15	398	106	56	313	3	207	5	27	33	3	1	3	3004	78	122	4	4645	2250	27	75	3547	8735	13	2257	394	673	170	1	0	1	95	11	17	53	2	7	2395	57	11	1322	4529	5038	1097	300	244	0	1	52	4	116	0	397	5686	6	0	714	0	1	1	20	4	5	2	706	2931	41	182	3068	64	1937	3065	3201	3325	11	404	27	5	35	3	3507	2	4	2	6	737	1	2	36	315	31	1960	749	644	2296	1917	3138
sq16	175	151	68	122	67	185	136	29	45	84	1108	267	869	908	856	48	4170	557	0	27	1611	123	170	465	686	344	5	1	0	4	4	375	11	621	243	192	493	531	589	4967	3070	326	4011	1828	232	124	90	476	34	1089	95	46	6844	6	2	93	835	723	85	4	281	3	381	2749	3699	975	180	182	411	493	976	1032	1614	593	282	84	132	75	2	1386	118	24	490	66	3	3	59	3684	265	4454	5777	2775	1536	879	770	2889
sq17	7	444	48	4	0	60	0	840	2	2	3272	101	523	2052	1413	185	47	2	0	0	2	1	127	1	7	0	0	2	5	0	0	0	384	464	210	14505	4130	351	213	0	3	1	4	7252	3	1	87	5	1	3	113	0	801	3	3	20	0	2	2	0	53	5214	2610	341	280	266	482	235	21	2	15	45	1	18	0	0	0	29	3	6	1	0	183	435	0	89	5110	13308	4799	4956	3538	4	0	4	0	7
sq18	0	3	0	0	1	0	1	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	7494	2008	17397	61	161	0	0	0	2	111	0	0	0	0	0	0	0	6	0	0	0	0	40	0	0	0	2	0	25720	111	0	0	1	0	0	1	0	4	0	0	0	0	0	0	2	0	0	0	0	9	1859	18287	29	5	6	0	8	0	0	0	1	0	1	0	1	0	0	2	0	2	2	0	0
sq19	12	1580	1358	47	1563	678	880	229	526	610	332	147	193	84	195	740	80	1	905	1689	18	29	593	32	51	643	1512	0	2251	497	1600	7493	446	123	732	12	0	18	77	23	13	1	47	149	296	1760	1803	16	2131	7142	2083	1149	547	1384	617	26	554	2580	3978	3055	1528	41	268	0	75	25	981	85	44	33	23	523	84	101	433	126	609	833	95	89	454	913	1971	1464	319	3387	69	69	221	214	21	76	26	3	16	28
sq20	124	312	634	212	586	472	73	0	485	902	430	568	83	0	256	301	1309	1	1588	677	44	6	383	1	3	52	269	3824	619	1059	1871	4965	1203	121	283	121	6	0	2997	1766	124	27	64	525	1804	703	105	1405	3019	1549	880	247	914	1245	1145	277	214	557	1168	111	904	2025	0	474	647	1457	480	5245	1818	275	10	90	7	2	108	378	363	189	743	51	655	1364	390	1097	873	1090	2	19	2	28	790	2391	1117	29	471	91
sq21	12	2	18	1	1	1	0	3	2	3	100	0	822	14	147	21	25	631	1	1	15198	43	0	230	113	232	63	6	0	0	2	0	8	0	0	6	12	86	855	196	3990	9519	8722	98	100	4	0	23	237	132	33	33	465	6	0	50	1	1	1	2	0	3	4	231	306	30	18	156	83	742	913	1028	572	306	53	88	4	19	4	1037	0	0	7	3	0	32	78	137	1476	126	669	69	2879	7259	678	8830
sq22	1031	4	218	802	2	725	0	1	0	1	110	40	1838	119	266	7	45	1530	184	2	3579	514	73	1451	1413	169	378	2	1	2	4	1	0	1	0	418	62	534	1209	397	2434	1783	5649	411	4787	14	0	43	152	3135	513	177	2556	3	2	3127	0	1	2	1	1	48	382	1434	1338	89	644	224	136	141	1974	2386	1577	781	23	274	51	961	3	2430	2	1	1	2	2	0	67	298	1046	747	969	811	1381	1076	243	730
