1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip	95_clip	96_clip
sq488	0	0	0	4	0	0	78	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	1	0	0	144	0	0	0	191	0	0	0	0	0	0	0	1	0	0	0	0	35	0	0	41	0	0	1266	174	31	20	23	0	1	0	0	0	0	0	0	0	0	1	0	34	1	0	2	0	9	0	0	6	26	0	48	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
sq489	0	0	0	0	0	0	0	0	0	0	71	0	91	41	0	149	0	0	67	105	1	0	0	0	0	0	0	0	0	0	1	511	0	0	225	0	0	0	0	0	0	0	0	1	1	0	48	0	0	0	0	0	13	0	90	0	233	64	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	565	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0
sq490	60	35	0	39	0	0	0	0	66	0	0	96	9	1	10	14	146	75	0	14	21	0	0	0	0	16	7	0	32	0	0	0	0	11	33	0	0	10	29	0	11	1	28	61	82	19	0	8	462	156	0	20	99	0	0	141	0	0	0	0	0	0	0	0	57	6	37	1	32	28	11	48	0	12	6	0	0	5	0	54	0	1	56	0	0	10	0	1	68	4	1	0	7	7	11	19
sq491	1	0	28	0	0	0	284	0	30	0	88	0	32	6	0	1	0	48	102	0	0	14	0	0	0	0	0	0	0	0	134	290	181	0	61	1	0	0	0	0	0	0	3	22	0	138	0	0	70	3	28	22	0	0	1	29	0	0	230	0	0	0	0	0	16	0	1	0	0	4	19	16	0	4	0	0	0	1	0	85	152	32	0	115	0	0	0	0	0	0	0	0	0	0	0	0
sq492	0	0	15	15	125	0	0	12	0	0	126	1	18	8	7	55	0	0	0	24	0	0	41	0	0	0	0	0	0	169	0	452	0	4	115	0	0	1	4	0	1	0	0	0	0	173	15	1	0	11	0	13	0	0	0	0	68	123	57	0	95	0	0	3	1	0	0	6	1	0	0	2	0	0	11	0	0	0	0	0	234	0	0	0	34	242	0	1	0	0	0	0	0	0	0	0
sq493	1	17	0	0	0	1	30	0	17	28	0	0	0	0	0	14	3	0	0	2	0	1	118	0	0	8	25	2	252	1	0	0	0	67	49	31	0	2	2	0	0	0	0	0	0	13	0	0	696	3	26	0	73	0	1	0	0	98	0	0	97	0	7	0	0	0	0	0	1	0	2	10	0	0	15	46	0	0	9	12	108	11	156	0	0	0	91	0	109	6	1	0	4	0	0	0
sq494	0	0	0	0	0	0	0	0	0	0	20	0	25	8	19	12	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	1705	0	0	0	130	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	102	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2246	0	0	0	0	0	0	0	0	0	0	0	0
sq496	0	19	26	0	54	0	0	0	0	0	27	0	20	4	1	0	0	0	0	19	0	0	0	0	0	0	0	0	10	169	665	16	247	30	51	0	0	0	3	0	0	0	0	6	0	46	0	0	295	94	0	0	0	0	0	0	0	288	0	0	0	0	16	0	0	0	12	0	0	0	0	6	0	0	0	0	0	16	0	0	24	0	43	0	0	0	0	0	36	0	0	0	0	0	0	0
sq497	8	0	54	0	0	0	0	0	0	0	0	0	0	0	314	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	172	0	113	4	0	1	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	156	28	40	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	858	39	0	21	0	25
sq498	0	1	0	0	84	88	0	1	7	0	0	206	0	0	75	0	0	16	0	0	0	9	0	7	4	4	10	0	0	2	139	0	0	0	0	0	0	0	0	0	0	1	0	85	0	241	0	0	178	710	34	2	0	1	0	0	0	0	1	37	0	42	0	0	0	4	91	0	0	0	30	25	33	0	0	0	0	47	1	3	0	0	0	0	0	3	2	4	0	0	0	3	0	0	1	0
sq499	0	17	0	0	0	0	0	320	347	246	0	434	0	0	59	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	17	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	342	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0
sq500	0	4	0	0	0	0	0	0	1	0	0	0	0	2	15	5	2	0	142	76	1	0	0	0	0	24	8	0	334	0	185	205	0	14	0	0	0	3	0	0	0	7	0	0	1	0	14	1	0	0	0	0	0	201	65	0	2	3	77	114	153	0	0	0	0	0	0	9	0	10	1	1	0	0	0	1	0	0	132	0	3	118	41	181	56	6	0	2	0	0	0	0	0	0	0	0
sq501	14	0	13	9	102	0	0	0	1	0	0	0	18	13	72	210	103	126	0	0	25	8	0	3	18	13	24	0	0	171	0	2	0	0	0	108	0	0	2	45	19	16	12	26	169	0	0	8	0	0	51	0	0	0	0	141	0	0	184	0	0	0	0	2	11	1	44	62	32	45	16	28	0	0	0	91	0	4	0	45	0	0	0	0	0	0	0	2	0	17	0	3	58	5	1	21
sq502	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	83	0	0	0	0	278	1300	373	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	68	0	0	7	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq503	0	0	0	0	0	31	0	0	0	0	0	0	12	2	0	11	0	0	38	0	0	0	146	0	0	0	0	0	0	1	0	357	0	11	132	0	0	0	0	0	0	0	0	1	0	426	0	0	0	0	0	7	0	0	161	0	579	0	0	59	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	203	0	0	0	0	0	0	0	0	0	0	0	0
sq504	2	61	11	0	0	54	0	84	163	0	29	0	87	23	321	0	14	0	0	0	3	0	36	0	0	0	3	0	0	0	0	0	290	0	0	0	1	50	0	0	0	0	0	7	0	0	0	13	0	53	0	0	57	0	0	21	0	0	0	34	407	0	0	0	11	0	0	40	7	11	0	0	0	0	0	1	7	0	0	0	0	35	0	0	0	0	29	6	168	20	9	0	16	1	1	5
sq505	6	0	57	19	0	20	0	0	0	0	0	10	2	100	79	6	0	4	11	0	76	286	0	251	158	0	0	0	0	0	0	0	0	0	0	1	6	1	19	8	63	112	200	17	0	0	0	0	0	0	0	2	100	0	0	3	0	1	0	0	0	0	63	61	53	3	5	5	4	14	6	3	32	75	0	0	0	7	55	20	0	0	0	0	0	0	0	27	0	18	19	8	44	33	4	9
sq506	0	1	1	0	145	29	1	10	0	137	5	0	0	9	45	12	9	55	18	0	0	19	0	4	14	0	0	0	221	0	0	951	0	0	8	0	0	0	0	0	0	2	0	14	0	5	69	2	0	32	46	2	0	0	0	10	64	0	16	1	0	0	0	0	0	2	0	10	0	0	17	25	13	14	0	0	0	4	0	14	118	0	0	0	0	1	0	0	0	8	0	2	0	0	0	0
sq507	17	43	0	66	0	0	0	0	0	0	0	958	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	0	470	0	0	0	0	21	347	206	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq508	0	0	11	0	0	0	0	0	0	0	0	0	29	0	0	0	0	1	0	0	45	0	0	30	252	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	5	44	8	0	0	0	0	0	0	0	791	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	200	4	9	14	173	291	0	0	0	0	0	0	0	0	0	2	0	0	0	126	0	0	0	0	0	1	41
sq509	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	743	941	357	0	0	0	0	0	0	0	0	7	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	12	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	6	1
sq510	10	0	0	53	1	28	0	0	85	0	0	0	40	7	32	1	61	7	0	0	129	0	0	1	0	0	0	0	0	0	0	105	2	39	0	0	0	105	50	28	59	0	13	23	0	1	0	1	0	17	0	0	145	0	0	39	19	0	0	0	0	0	83	38	123	21	108	1	32	23	7	22	0	0	0	1	0	16	0	40	0	0	1	0	0	0	0	0	54	28	107	5	10	214	44	75
sq511	32	0	0	4	0	0	0	0	0	0	0	1	5	0	0	0	1	1	0	0	0	0	0	0	0	0	115	0	0	0	0	328	1	23	1	0	0	0	0	0	0	0	0	0	0	111	0	0	0	199	0	0	0	2	0	0	0	0	1186	76	0	0	0	0	0	0	13	0	0	0	0	30	0	13	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
sq512	0	0	11	0	25	14	25	0	0	0	141	0	30	0	0	35	0	0	0	125	0	0	0	0	0	1	10	0	0	0	0	179	219	0	0	0	0	0	0	0	0	0	0	1	0	5	109	3	104	283	49	77	1	0	0	0	27	0	0	0	0	0	0	0	1	1	0	0	2	0	0	13	0	0	19	0	0	10	279	0	0	188	34	0	0	0	0	5	107	6	1	0	0	1	3	0
sq513	0	0	0	0	0	0	0	0	0	0	113	0	18	0	0	48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	36	0	0	0	693	0	85	52	0	630	418	25	0	0	0	14	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
sq514	1	28	13	65	0	56	0	90	0	374	22	0	1	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	1166	110	0	26	0	0	35	0	0	0	0	0	0	0	0	3	0	13	0	0	7	0	0	1	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	31	0	0	0	0	2	0	1
sq515	22	8	33	0	1	0	0	1	83	80	20	26	25	66	0	8	51	15	0	19	11	0	0	0	0	0	0	0	0	1	0	399	10	125	54	1	0	4	0	0	4	15	2	21	1	2	48	0	99	99	7	2	1	0	0	31	5	1	303	0	4	0	26	19	0	15	38	1	0	41	3	5	0	0	7	0	1	15	0	2	0	2	88	0	0	10	1	0	81	4	5	0	8	4	21	19
sq516	2	168	33	49	0	21	0	112	7	24	20	0	5	23	13	22	4	0	1	0	0	0	0	0	0	13	0	0	3	0	0	1	0	19	3	0	0	0	0	0	0	0	0	40	0	19	32	3	0	8	0	0	0	853	0	0	31	0	0	0	0	0	0	0	0	1	44	0	0	1	0	5	0	0	0	0	0	10	399	0	1	0	0	4	1	0	0	0	121	0	0	0	0	0	0	0
sq517	24	0	1	2	0	19	0	0	0	0	0	0	108	0	0	0	58	343	1	0	2	29	0	7	5	35	0	0	0	0	0	0	0	62	0	31	0	0	0	1	0	0	0	96	41	92	0	1	61	216	1	8	0	0	0	0	74	166	0	0	0	0	0	0	0	1	0	35	12	18	128	146	0	7	7	0	0	2	0	107	0	0	0	0	0	0	0	0	0	0	0	5	118	2	18	25
sq518	2	0	0	0	1560	0	0	0	0	0	0	2	0	1	0	3	17	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	214	0	7	0	20	0	0	0	4	25	0	0	0	0	0	0	0	24	0	0	0	92	0	0	0	0	0	2	1	23	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	2	0	0	0	0	4	0
sq519	27	244	6	36	100	57	0	0	0	66	0	0	0	0	0	51	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	65	0	3	208	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	4	157	0	7	17	1	6	5	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	2
sq520	2	0	37	0	0	35	0	0	0	0	0	0	31	0	0	0	37	24	1	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	27	84	0	0	969	123	0	10	0	0	0	10	0	0	0	125	0	0	0	0	0	0	0	7	0	58	40	44	0	23	44	139	0	8	0	73	0	0	0	0	0	0	0	0	97	0	0	0	6	0	21	10
sq521	0	0	60	5	0	24	0	0	0	0	0	0	18	0	0	0	3	20	125	0	3	155	0	29	37	35	122	147	0	0	0	543	0	0	0	0	1	12	0	1	3	5	49	0	0	78	0	1	0	0	0	47	0	0	0	0	0	0	4	0	0	0	16	0	0	0	0	0	0	8	4	8	267	82	14	27	0	0	0	0	0	0	19	0	121	0	0	0	0	0	1	0	0	3	0	8
sq522	0	0	18	0	0	0	0	0	0	0	0	0	209	0	0	0	0	101	0	0	49	8	0	16	69	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	275	38	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	2	0	267	236	47	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	348	5	0
sq523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2087	0	0	0	0	0	0	1
sq524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq525	0	1	0	0	17	0	0	0	0	48	13	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	2	1	0	0	0	0	7	0	214	0	0	0	324	246	47	0	0	351	1	9	430	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	192	126	0	0	31	0	0	0	0	0	0	0	0
sq526	0	77	7	0	0	34	52	3	81	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	1	0	33	9	0	0	10	461	0	0	1	0	0	0	0	0	0	216	111	1	0	0	0	2	0	0	0	0	0	21	0	0	0	2	14	0	0	0	0	3	1	0	0	0	0	0	0	0	417	10	0	317	0	0	27	0	0	0	0
sq527	0	0	6	0	0	0	2	0	0	0	0	15	0	0	0	0	3	0	5	0	0	18	0	0	0	0	0	0	0	0	398	472	0	0	0	0	0	0	0	0	0	0	0	70	0	36	0	0	440	17	0	3	0	87	0	0	138	124	0	0	0	0	0	0	0	0	14	19	0	1	14	48	16	0	0	34	0	0	0	8	0	0	0	26	0	79	0	0	0	0	0	0	0	0	0	0
sq528	0	0	35	10	84	44	0	0	0	0	0	30	25	23	104	28	0	31	65	0	36	1	1	0	0	0	0	0	0	0	11	0	0	1	6	0	0	0	0	0	0	31	92	9	18	0	0	0	119	250	77	52	0	0	354	69	0	0	0	0	80	0	12	0	0	0	29	0	0	5	37	43	6	0	0	0	0	63	0	34	0	0	0	0	134	0	0	0	0	1	1	0	0	5	0	35
sq529	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq530	0	1	1	0	0	0	0	0	53	0	0	0	37	0	0	4	1	175	10	7	202	48	0	8	1	6	50	0	0	0	0	0	0	0	0	0	0	0	0	9	22	209	26	3	42	61	0	0	0	0	47	6	1	0	0	139	0	0	0	0	0	0	1	0	0	0	0	0	0	83	74	68	18	81	0	67	0	0	0	149	0	0	0	0	0	0	0	0	57	0	0	0	70	78	35	134
sq531	0	11	15	0	0	1	0	0	0	0	0	0	0	0	0	40	2	19	0	27	4	1	0	0	0	105	63	207	19	0	0	49	0	15	0	0	0	1	0	0	0	0	9	6	0	0	0	0	1	43	5	14	41	0	0	0	137	0	128	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
sq532	9	512	4	0	0	0	0	43	0	128	184	43	18	0	29	26	45	5	1	82	28	4	0	0	0	0	0	0	0	0	0	132	0	0	6	0	0	1	0	61	5	0	0	15	0	61	0	4	1	0	0	0	0	0	0	74	57	0	0	0	0	0	0	18	0	0	11	75	0	23	0	28	0	0	1	0	0	25	0	0	0	0	0	0	76	0	1	0	191	0	0	0	23	0	0	10
sq533	9	55	35	11	0	0	0	0	0	0	0	0	16	5	8	32	8	101	3	0	1	10	0	9	4	10	0	0	5	0	0	245	0	0	7	0	0	0	6	3	0	1	12	50	0	124	0	22	0	28	6	44	0	791	0	101	0	0	0	98	0	0	0	0	1	7	0	0	4	27	13	17	5	3	1	0	0	20	1	0	0	0	0	0	0	0	0	0	63	0	0	1	9	0	2	23
sq534	9	0	0	18	0	0	0	0	0	0	0	0	16	0	0	0	0	36	0	0	41	33	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	812	0	0	0	0	0	0	43	0	0	0	0	0	169	0	0	0	0	198	0	0	0	0	0	26	0	0	0	11	20	102	15	0	0	0	77	0	43	0	0	0	0	0	0	0	0	275	1	3	0	0	4	0	74
sq535	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	16	0	0	0	59	944	182	0	0	0	0	23	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	94	0	16	0	0	0	0	1	0	0	0	2	0	0	0	0	0	32	0	0	0	0	0	2	112	0	0	99	0	0	0	0	130	0	0	0	0	0	0	0	3	0
sq536	0	236	0	0	0	0	0	56	0	1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	76	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq537	0	17	148	0	0	5	0	0	0	0	0	0	0	0	0	23	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	97	0	0	0	0	0	0	0	0	19	0	947	0	1	0	290	18	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq538	6	28	24	0	0	36	113	0	1	1	100	0	1	8	48	31	20	1	0	1	0	0	0	0	0	6	0	0	0	0	0	115	1	56	26	0	0	0	10	0	0	0	4	4	50	23	25	0	0	250	119	10	55	0	0	5	71	0	89	0	0	0	0	14	2	7	107	8	4	17	0	80	0	13	0	0	0	303	0	0	0	0	10	0	55	0	0	0	19	0	0	0	2	0	15	30
sq539	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	460	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	0	6	25	0	0	17	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sq540	26	0	0	0	1	51	0	0	0	0	1	0	1	0	36	0	431	27	0	95	2	1	0	0	0	0	0	0	1	0	0	0	0	111	0	0	0	0	0	0	0	0	0	491	30	0	0	7	266	25	2	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	104	0	0	71	12	28	0	0	0	0	0	19	0	17	0	0	0	0	0	0	0	0	75	0	0	0	13	0	43	23
sq541	14	0	0	1	0	0	30	7	94	0	9	21	46	0	0	16	204	81	0	0	17	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	8	6	5	14	33	1	2	0	0	0	0	0	251	0	1	196	0	0	0	0	0	11	0	0	0	13	87	53	232	78	59	1	13	0	8	0	19	0	118	0	0	0	0	37	0	0	1	0	0	0	1	40	23	41	101
sq542	0	1	0	0	0	30	0	0	0	0	0	0	112	0	0	13	108	1	0	0	36	0	0	1	0	94	9	0	0	0	94	0	0	0	26	0	0	0	0	129	15	0	82	113	0	0	0	0	1	150	0	94	0	0	0	40	5	0	17	8	0	0	0	6	1	0	0	0	0	1	22	257	27	113	87	0	0	6	0	51	46	0	0	94	0	0	1	0	0	1	0	8	40	4	20	36
sq543	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	27	0	0	0	38	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1291	194	114	0	19	3	80	72	9	74	25
sq544	6	91	0	59	0	0	244	57	75	164	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	65	6	56	0	0	0	0	0	0	0	0	0	90	0	4	0	0	0	1	81	642	0	21	12	1	0	0	0	0	0	0	0	1	0	0	0	5	0	2	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	0	1	1
sq545	0	0	0	0	0	44	0	0	0	1	51	0	0	0	0	0	0	0	0	106	0	0	0	0	0	1	0	1	488	1	0	861	0	0	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	81	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	4	188	1	0	6	0	0	0	0	0	0	0	0
sq546	0	0	0	0	0	0	0	0	0	0	18	1	44	0	10	25	0	0	0	57	0	0	0	0	0	0	1	0	0	0	0	778	0	5	297	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	66	263	0	0	0	0	0	0	0	0	0	0
sq547	12	0	30	0	70	0	0	0	0	0	0	0	0	0	0	43	39	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	45	44	130	0	15	332	279	95	15	0	164	0	21	0	70	231	114	0	0	0	0	0	0	7	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	7	0	0	0
sq548	0	0	5	0	0	1	0	0	0	0	0	0	3	158	300	0	0	1	0	0	27	58	0	69	75	12	0	0	0	0	0	0	0	0	0	46	46	9	0	0	5	14	38	176	0	42	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	25	0	5	0	9	0	0	2	0	4	372	38	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	26	0	0	3	0	1	6
sq549	2	1	0	81	0	51	0	0	0	0	40	1	35	6	0	0	67	264	192	0	15	60	0	0	0	0	6	0	0	0	0	0	0	0	79	0	0	0	18	91	4	2	10	88	0	156	0	3	0	0	31	13	0	0	152	0	0	0	0	0	0	0	0	0	6	7	51	0	2	21	49	164	1	14	0	0	0	18	0	38	0	0	0	0	0	0	0	0	0	0	0	7	13	0	5	66
sq550	0	58	0	0	0	0	0	517	838	508	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq551	0	0	2	0	0	0	0	0	0	0	0	0	65	0	33	0	0	61	0	0	38	125	0	314	81	38	150	1	0	0	0	0	0	0	0	0	6	55	17	4	32	6	53	83	0	0	0	5	0	37	0	163	88	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	15	25	36	130	120	10	0	0	1	1	31	0	0	0	0	0	0	0	19	0	21	22	1	7	0	5	9
sq552	0	257	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0
sq553	0	138	0	0	0	1	0	0	0	0	116	1	0	4	0	59	2	0	0	0	0	0	75	0	0	0	5	0	87	0	0	603	1	0	117	19	0	0	0	0	1	0	0	7	0	55	0	0	0	0	0	0	0	0	0	0	63	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	368	11	42	0	0	0	0	0	0	4	39	0	0	0	0	0	0	0
sq554	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	103	856	360	0	90	0	0	1	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	148	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0
sq555	0	0	38	0	0	21	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	6	0	4	0	9	0	0	0	0	2	427	1	0	0	0	0	0	0	0	0	0	0	21	0	172	0	1	614	34	0	1	81	154	0	0	90	0	27	0	0	0	0	0	0	0	27	0	0	17	1	22	2	0	1	47	0	6	0	6	0	0	0	0	0	18	0	0	40	0	0	0	0	0	0	0
